STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
12031,6060,454.5,20.4,7,8,7
12032,13918,47.9,12.2,7,9,9
12033,1764,71.9,12.8,6,8,8
12034,1764,9.4,0,N,N,N
12035,61048,60.4,24.7,7,7,9
12036,54805,60.4,24.7,7,7,8
12037,80358,122.2,21.1,7,7,7
12038,85038,122.2,18.7,7,7,7
12039,4266,69.8,9.2,7,7,7
1204,6385,153.6,10.5,6,6,7
12040,3379,89,12.4,7,7,8
12041,3462,89,12.4,7,7,8
12042,42272,78,28.1,6,7,8
12043,2025,84.1,19,6,7,8
12044,6234,75.3,15.3,7,7,8
12046,3467,97.5,10.5,7,8,8
12047,12555,83.8,18,6,7,8
12048,17508,83.5,12.4,7,9,9
12049,12291,83.5,12.4,7,9,8
1205,12637,9.3,0,N,N,N
12050,1613,6.4,0,N,N,N
12051,5366,21.6,11.6,N,N,N
12052,5366,6.8,12.5,N,N,N
12053,3441,112.8,12.8,7,9,8
12054,3531,143.9,12.8,6,9,8
12055,3441,152.4,12.8,7,9,7
12056,3531,197.8,12.8,7,9,8
12057,42109,986.9,26.2,7,6,7
12058,3531,192.6,12.8,6,9,7
12059,7666,611.1,13.7,7,9,7
1206,21916,14.2,0,N,N,N
12060,4207,51.2,17,7,7,8
12061,2736,377,9.8,6,8,8
12062,220,19,12.2,N,N,N
12063,8100,61.9,11,6,7,7
12064,4207,64.3,12.8,6,7,8
12065,36653,132.9,27.6,6,9,7
12066,19643,119.5,20.9,7,8,7
12067,2390,51.5,15.2,7,8,8
12068,3313,49.7,11.6,7,9,8
12069,1178,14.6,0,N,N,N
1207,31866,68,14.7,7,7,6
12070,7061,112.2,12.2,7,9,8
12071,6795,106.4,12.2,7,9,8
12072,33278,174.3,16.4,7,7,7
12073,4162,119.5,9.8,6,7,8
12074,10519,54.3,24.6,6,7,7
12075,141266,6.6,0,N,N,N
12076,48,76.2,9.2,7,9,9
12077,10,37.8,9.2,7,9,6
12079,7343,72.8,12.2,7,8,9
12080,16110,72.8,12.2,7,8,8
12081,2421,117.7,12.8,7,7,7
12082,2900,86,12.8,7,7,8
12083,2900,175.6,12.8,7,7,7
12084,8964,138.1,12.2,8,9,8
12085,37023,330.4,7.8,7,8,7
12086,8960,80.8,7.8,7,9,9
12087,1553,94.2,9,7,8,9
12088,4593,229.8,16.3,7,9,8
12089,8556,22.6,8.6,7,7,8
1209,9106,57.5,10.6,7,7,8
12090,3839,42.4,10.4,7,7,8
12091,6068,275.8,12.6,6,7,7
12092,336,9.4,0,N,N,N
12093,476,64.6,10.8,7,8,8
12094,34823,107,38,6,8,7
12095,8856,101.8,20.1,7,9,7
12096,2533,44.5,13.9,7,9,7
12097,2699,47.2,12.2,7,8,8
12098,428,38.1,11.8,7,8,8
12099,428,8.8,0,N,N,N
1210,1126,6.4,20.1,N,N,N
12100,1676,8.1,0,N,N,N
12101,11548,82,27.2,7,9,7
12103,1019,101.8,14,7,7,7
12104,1019,89,14,7,7,8
12105,5259,8.2,0,N,N,N
12106,833,103.3,10.6,7,9,9
12107,4641,42.7,12.8,7,9,9
12108,4927,97.2,13,7,9,7
12109,2464,103,12.8,7,8,7
12110,2778,102.4,14,7,8,8
12111,4716,73.5,12.8,7,7,9
12112,4716,50.9,15.2,7,7,9
12113,3729,11.6,0,N,N,N
12114,3162,11.3,0,N,N,N
12115,3162,42.4,12.8,6,7,7
12116,4041,103,12.8,7,7,9
12117,784,10.5,0,N,N,N
12118,400,9.3,0,N,N,N
12119,5212,142,14.2,7,7,9
1212,15633,15.1,0,N,N,N
12120,5212,14.3,0,N,N,N
12121,48486,32.3,12.8,7,7,8
12122,3432,41.8,13,7,9,9
12123,2873,542.8,17.9,6,7,7
12124,37786,365.5,26.4,7,7,8
12125,40736,747.7,13.6,7,7,6
12126,32390,238,19.1,7,9,8
12127,10995,85,15.8,7,8,7
12128,2615,50.9,14.2,7,8,7
12129,150,37.8,9.4,5,7,9
